scenario,seed,orders,mean_total_time,p95_total_time,mean_processing_time,mean_courier_wait,express_wait_over_6,picker_utilisation,packer_utilisation,mean_pick_queue,empty_courier_fraction,completed_after_close,drain_duration
faster_courier,2033,3976,16.11747940085614,30.627989845721004,11.171904359906826,4.945575040949316,0.0019267822736030828,0.7956255268573073,0.8010266663573745,2.225700990964424,0.002,11,20.0
faster_courier,2034,4069,18.926540753474,38.83334794450957,14.01839180087697,4.908148952597032,0.009671179883945842,0.81589424066919,0.820228540361432,3.7458140280101704,0,23,20.0
faster_courier,2035,3982,17.806115421827606,35.80867145391221,12.831165376162597,4.974950045665008,0.01044932079414838,0.8041711653807535,0.805049539582314,2.855324966708134,0,26,10.0
faster_courier,2036,3991,15.861526220347615,30.12107152662975,10.836441875542276,5.0250843448053395,0.0041279669762641896,0.7848757148777634,0.7930543283643153,2.2532146806431936,0,14,20.0
faster_courier,2037,4012,16.87188421488372,32.41323953779465,11.959093771293265,4.912790443590457,0.01020408163265306,0.804834364099577,0.7951013060103367,2.7076657593514044,0.002,12,20.0
faster_courier,2038,4097,19.814570274176912,39.17005257500841,14.871288842473088,4.943281431703822,0.004775549188156638,0.8201106550353289,0.8507507150277964,2.6217302896523824,0,18,10.0
faster_courier,2039,3956,17.693485569798185,34.29440146902016,12.734399920528096,4.959085649270088,0.009930486593843098,0.8078509344233272,0.799636002638035,2.7753036183081767,0.002,10,10.0
faster_courier,2040,3966,16.776881561550553,33.99853150758554,11.771639886313796,5.005241675236758,0.0010121457489878543,0.8088749468415095,0.7984431879255395,2.4873820841464456,0,11,10.0
faster_courier,2041,3972,16.59966251018937,32.36027453549286,11.595526726106124,5.004135784083246,0.006711409395973154,0.7808400891667697,0.7958829540311306,2.4120977284791785,0,28,30.0
faster_courier,2042,3959,15.799610372702187,30.563358133582597,10.849542408606323,4.950067964095863,0.0021208907741251328,0.7905530827101451,0.785132546695926,2.09634394488236,0.002,18,10.0
faster_courier,2043,4033,17.754890794356985,37.399872110646356,12.800350623906157,4.95454017045083,0.0060790273556231,0.7967936720734429,0.8388749503724273,2.3700775414113218,0,12,10.0
faster_courier,2044,4063,16.23998331324852,31.51124652589715,11.19512624257286,5.04485707067566,0.0030272452068617556,0.7937608632902802,0.8205456393216783,2.2838681066930926,0,12,10.0
fifo_picking,2025,4047,23.704469475878554,41.30418360185786,13.666391703419327,10.038077772459227,0.24263261296660119,0.8200125643417064,0.8209056966290602,3.312601660267857,0,22,40.0
fifo_picking,2026,3896,21.951673061082875,39.5358297271423,11.826325654851997,10.125347406230878,0.17425742574257425,0.7741595781695014,0.7860020398926499,2.1877566255043157,0,21,20.0
fifo_picking,2027,3928,20.46531970136224,35.87103057798731,10.593483350878536,9.871836350483704,0.15756951596292482,0.784243242492678,0.7724922145839085,1.977403790944506,0,32,20.0
